category_id|category_name|book_name|price|rating|stars
3|Historical Fiction|Forever and Forever: The Courtship of Henry Longfellow and Fanny Appleton|£29.69|3|★★★☆☆
3|Historical Fiction|A Flight of Arrows (The Pathfinders #2)|£55.53|5|★★★★★
3|Historical Fiction|The House by the Lake|£36.95|1|★☆☆☆☆
3|Historical Fiction|Mrs. Houdini|£30.25|5|★★★★★
3|Historical Fiction|The Marriage of Opposites|£28.08|4|★★★★☆
3|Historical Fiction|Glory over Everything: Beyond The Kitchen House|£45.84|3|★★★☆☆
3|Historical Fiction|Love, Lies and Spies|£20.55|2|★★☆☆☆
3|Historical Fiction|A Paris Apartment|£39.01|4|★★★★☆
3|Historical Fiction|Lilac Girls|£17.28|2|★★☆☆☆
3|Historical Fiction|The Constant Princess (The Tudor Court #1)|£16.62|3|★★★☆☆
3|Historical Fiction|The Invention of Wings|£37.34|1|★☆☆☆☆
3|Historical Fiction|World Without End (The Pillars of the Earth #2)|£32.97|4|★★★★☆
3|Historical Fiction|The Passion of Dolssa|£28.32|5|★★★★★
3|Historical Fiction|Girl With a Pearl Earring|£26.77|1|★☆☆☆☆
3|Historical Fiction|Voyager (Outlander #3)|£21.07|5|★★★★★
3|Historical Fiction|The Red Tent|£35.66|5|★★★★★
3|Historical Fiction|The Last Painting of Sara de Vos|£55.55|2|★★☆☆☆
3|Historical Fiction|The Guernsey Literary and Potato Peel Pie Society|£49.53|1|★☆☆☆☆
3|Historical Fiction|Girl in the Blue Coat|£46.83|2|★★☆☆☆
3|Historical Fiction|Between Shades of Gray|£20.79|5|★★★★★
3|Historical Fiction|While You Were Mine|£41.32|5|★★★★★
3|Historical Fiction|The Secret Healer|£34.56|3|★★★☆☆
3|Historical Fiction|Starlark|£25.83|3|★★★☆☆
3|Historical Fiction|Lost Among the Living|£27.70|4|★★★★☆
3|Historical Fiction|A Spy's Devotion (The Regency Spies of London #1)|£16.97|5|★★★★★
4|Sequential Art|Scott Pilgrim's Precious Little Life (Scott Pilgrim #1)|£52.29|5|★★★★★
4|Sequential Art|Tsubasa: WoRLD CHRoNiCLE 2 (Tsubasa WoRLD CHRoNiCLE #2)|£16.28|1|★☆☆☆☆
4|Sequential Art|This One Summer|£19.49|4|★★★★☆
4|Sequential Art|The Nameless City (The Nameless City #1)|£38.16|4|★★★★☆
4|Sequential Art|Saga, Volume 5 (Saga (Collected Editions) #5)|£51.04|2|★★☆☆☆
4|Sequential Art|Rat Queens, Vol. 3: Demons (Rat Queens (Collected Editions) #11-15)|£50.40|3|★★★☆☆
4|Sequential Art|Princess Jellyfish 2-in-1 Omnibus, Vol. 01 (Princess Jellyfish 2-in-1 Omnibus #1)|£13.61|5|★★★★★
4|Sequential Art|Pop Gun War, Volume 1: Gift|£18.97|1|★☆☆☆☆
4|Sequential Art|Patience|£10.16|3|★★★☆☆
4|Sequential Art|Outcast, Vol. 1: A Darkness Surrounds Him (Outcast #1)|£15.44|4|★★★★☆
4|Sequential Art|orange: The Complete Collection 1 (orange: The Complete Collection #1)|£48.41|1|★☆☆☆☆
4|Sequential Art|Lumberjanes, Vol. 2: Friendship to the Max (Lumberjanes #5-8)|£46.91|2|★★☆☆☆
4|Sequential Art|Lumberjanes, Vol. 1: Beware the Kitten Holy (Lumberjanes #1-4)|£45.61|3|★★★☆☆
4|Sequential Art|Lumberjanes Vol. 3: A Terrible Plan (Lumberjanes #9-12)|£19.92|2|★★☆☆☆
4|Sequential Art|I Hate Fairyland, Vol. 1: Madly Ever After (I Hate Fairyland (Compilations) #1-5)|£29.17|2|★★☆☆☆
4|Sequential Art|I am a Hero Omnibus Volume 1|£54.63|3|★★★☆☆
4|Sequential Art|Giant Days, Vol. 2 (Giant Days #5-8)|£22.11|2|★★☆☆☆
4|Sequential Art|Danganronpa Volume 1|£51.99|4|★★★★☆
4|Sequential Art|Codename Baboushka, Volume 1: The Conclave of Death|£36.72|4|★★★★☆
4|Sequential Art|Camp Midnight|£17.08|4|★★★★☆
4|Sequential Art|Bitch Planet, Vol. 1: Extraordinary Machine (Bitch Planet (Collected Editions))|£37.92|2|★★☆☆☆
4|Sequential Art|The Shadow Hero (The Shadow Hero)|£33.14|1|★☆☆☆☆
4|Sequential Art|Fables, Vol. 1: Legends in Exile (Fables #1)|£41.62|4|★★★★☆
4|Sequential Art|Batman: The Long Halloween (Batman)|£36.50|2|★★☆☆☆
4|Sequential Art|Batman: The Dark Knight Returns (Batman)|£15.38|5|★★★★★
4|Sequential Art|Wonder Woman: Earth One, Volume One (Wonder Woman: Earth One #1)|£37.34|4|★★★★☆
4|Sequential Art|We Are Robin, Vol. 1: The Vigilante Business (We Are Robin #1)|£53.90|1|★☆☆☆☆
4|Sequential Art|Through the Woods|£25.38|2|★★☆☆☆
4|Sequential Art|Superman Vol. 1: Before Truth (Superman by Gene Luen Yang #1)|£11.89|5|★★★★★
4|Sequential Art|So Cute It Hurts!!, Vol. 6 (So Cute It Hurts!! #6)|£35.43|4|★★★★☆
4|Sequential Art|Robin War|£47.82|3|★★★☆☆
4|Sequential Art|Red Hood/Arsenal, Vol. 1: Open for Business (Red Hood/Arsenal #1)|£25.48|2|★★☆☆☆
4|Sequential Art|Naruto (3-in-1 Edition), Vol. 14: Includes Vols. 40, 41 & 42 (Naruto: Omnibus #14)|£38.39|2|★★☆☆☆
4|Sequential Art|Lowriders to the Center of the Earth (Lowriders in Space #2)|£51.51|2|★★☆☆☆
4|Sequential Art|El Deafo|£57.62|5|★★★★★
4|Sequential Art|Batman: Europa|£32.01|2|★★☆☆☆
4|Sequential Art|Art Ops Vol. 1|£48.80|3|★★★☆☆
4|Sequential Art|Adulthood Is a Myth: A "Sarah's Scribbles" Collection|£10.90|2|★★☆☆☆
4|Sequential Art|Fruits Basket, Vol. 9 (Fruits Basket #9)|£33.95|4|★★★★☆
4|Sequential Art|Roller Girl|£14.10|5|★★★★★
4|Sequential Art|Fruits Basket, Vol. 7 (Fruits Basket #7)|£19.57|1|★☆☆☆☆
4|Sequential Art|Fruits Basket, Vol. 6 (Fruits Basket #6)|£20.96|4|★★★★☆
4|Sequential Art|Death Note, Vol. 6: Give-and-Take (Death Note #6)|£36.39|3|★★★☆☆
4|Sequential Art|Fruits Basket, Vol. 5 (Fruits Basket #5)|£16.33|1|★☆☆☆☆
4|Sequential Art|Death Note, Vol. 5: Whiteout (Death Note #5)|£52.41|1|★☆☆☆☆
4|Sequential Art|The Demon Prince of Momochi House, Vol. 4 (The Demon Prince of Momochi House #4)|£27.88|2|★★☆☆☆
4|Sequential Art|Fruits Basket, Vol. 4 (Fruits Basket #4)|£50.44|4|★★★★☆
4|Sequential Art|The Wicked + The Divine, Vol. 3: Commercial Suicide (The Wicked + The Divine)|£14.41|3|★★★☆☆
4|Sequential Art|The Sandman, Vol. 3: Dream Country (The Sandman (volumes) #3)|£55.55|5|★★★★★
4|Sequential Art|Saga, Volume 3 (Saga (Collected Editions) #3)|£21.57|5|★★★★★
4|Sequential Art|Prodigy: The Graphic Novel (Legend: The Graphic Novel #2)|£43.63|3|★★★☆☆
4|Sequential Art|Persepolis: The Story of a Childhood (Persepolis #1-2)|£39.13|1|★☆☆☆☆
4|Sequential Art|Original Fake|£31.45|3|★★★☆☆
4|Sequential Art|Grayson, Vol 3: Nemesis (Grayson #3)|£42.72|1|★☆☆☆☆
4|Sequential Art|Fruits Basket, Vol. 3 (Fruits Basket #3)|£45.17|2|★★☆☆☆
4|Sequential Art|Black Butler, Vol. 1 (Black Butler #1)|£49.31|1|★☆☆☆☆
4|Sequential Art|Awkward|£38.02|2|★★☆☆☆
4|Sequential Art|The Sandman, Vol. 2: The Doll's House (The Sandman (volumes) #2)|£54.81|1|★☆☆☆☆
4|Sequential Art|Saga, Volume 2 (Saga (Collected Editions) #2)|£11.75|3|★★★☆☆
4|Sequential Art|Fruits Basket, Vol. 2 (Fruits Basket #2)|£11.64|5|★★★★★
4|Sequential Art|Y: The Last Man, Vol. 1: Unmanned (Y: The Last Man #1)|£18.51|4|★★★★☆
4|Sequential Art|The Wicked + The Divine, Vol. 1: The Faust Act (The Wicked + The Divine)|£36.52|2|★★☆☆☆
4|Sequential Art|The Sandman, Vol. 1: Preludes and Nocturnes (The Sandman (volumes) #1)|£54.12|3|★★★☆☆
4|Sequential Art|The Complete Maus (Maus #1-2)|£10.64|3|★★★☆☆
4|Sequential Art|Skip Beat!, Vol. 01 (Skip Beat! #1)|£42.12|3|★★★☆☆
4|Sequential Art|Saga, Volume 1 (Saga (Collected Editions) #1)|£28.48|1|★☆☆☆☆
4|Sequential Art|Rat Queens, Vol. 1: Sass & Sorcery (Rat Queens (Collected Editions) #1-5)|£46.96|5|★★★★★
4|Sequential Art|Paper Girls, Vol. 1 (Paper Girls #1-5)|£21.71|4|★★★★☆
4|Sequential Art|Ouran High School Host Club, Vol. 1 (Ouran High School Host Club #1)|£29.87|3|★★★☆☆
4|Sequential Art|Ms. Marvel, Vol. 1: No Normal (Ms. Marvel (2014-2015) #1)|£39.39|4|★★★★☆
4|Sequential Art|Hawkeye, Vol. 1: My Life as a Weapon (Hawkeye #1)|£45.24|3|★★★☆☆
4|Sequential Art|Giant Days, Vol. 1 (Giant Days #1-4)|£56.76|4|★★★★☆
4|Sequential Art|Fruits Basket, Vol. 1 (Fruits Basket #1)|£40.28|5|★★★★★
4|Sequential Art|Bleach, Vol. 1: Strawberry and the Soul Reapers (Bleach #1)|£34.65|5|★★★★★
4|Sequential Art|Ajin: Demi-Human, Volume 1 (Ajin: Demi-Human #1)|£57.06|4|★★★★☆
5|Classics|The Secret Garden|£15.08|4|★★★★☆
5|Classics|The Metamorphosis|£28.58|1|★☆☆☆☆
5|Classics|The Pilgrim's Progress|£50.26|2|★★☆☆☆
5|Classics|The Hound of the Baskervilles (Sherlock Holmes #5)|£14.82|2|★★☆☆☆
5|Classics|Little Women (Little Women #1)|£28.07|4|★★★★☆
5|Classics|Gone with the Wind|£32.49|3|★★★☆☆
5|Classics|Candide|£58.63|3|★★★☆☆
5|Classics|Animal Farm|£57.22|3|★★★☆☆
5|Classics|Wuthering Heights|£17.73|3|★★★☆☆
5|Classics|The Picture of Dorian Gray|£29.70|2|★★☆☆☆
5|Classics|The Complete Stories and Poems (The Works of Edgar Allan Poe [Cameo Edition])|£26.78|4|★★★★☆
5|Classics|Beowulf|£38.35|2|★★☆☆☆
5|Classics|And Then There Were None|£35.01|2|★★☆☆☆
5|Classics|The Story of Hong Gildong|£43.19|4|★★★★☆
5|Classics|The Little Prince|£45.42|2|★★☆☆☆
5|Classics|Sense and Sensibility|£37.46|1|★☆☆☆☆
5|Classics|Of Mice and Men|£47.11|2|★★☆☆☆
5|Classics|Emma|£32.93|2|★★☆☆☆
5|Classics|Alice in Wonderland (Alice's Adventures in Wonderland #1)|£55.53|1|★☆☆☆☆
